#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-7929.395695749539,3492.9015359711684,-4436.494159778371,288.43082297535705,12.157950041904758,1.0275979274870253,0
4000,-7981.583445558688,3598.9998013020713,-4382.583644256617,297.1920232755944,12.100335249507355,1.0324907540111978,559
6000,-7867.098080083204,3465.6805303385836,-4401.41754974462,286.18301353212854,12.115837970963936,1.0311696389051448,559
8000,-7597.846838892772,3479.106627793197,-4118.740211099575,287.2916907445553,12.1974291241851,1.024271929629827,559
10000,-7708.489501611082,3453.4942007675822,-4254.9953008435,285.1767117423372,12.34262129408762,1.012222928004505,559
12000,-8015.440327348973,3538.2200620976805,-4477.220265251293,292.1730583782413,11.940035265782189,1.0463523756379525,558
14000,-7921.972908036318,3354.104585286747,-4567.868322749571,276.96948680538486,12.207320283613281,1.023441998349382,558
16000,-7916.0688803866215,3406.8010614617224,-4509.267818924899,281.32096589362186,12.057080129766845,1.0361948441155227,558
18000,-7959.633121326056,3471.3733815115183,-4488.259739814538,286.6531080171795,12.309041048871558,1.0149843692898786,558
20000,-7828.677196883742,3416.81691863465,-4411.8602782490925,282.1480381421352,12.017419917644444,1.0396145221828108,558
22000,-7781.306474487312,3533.469280793357,-4247.837193693955,291.7807565205249,12.178813992602118,1.025837513664397,558
24000,-7686.122609156548,3415.0440459376146,-4271.078563218933,282.0016409059777,12.025407939300504,1.0389239457500556,555
26000,-7700.763302734544,3459.329465699246,-4241.433837035298,285.65856622611983,12.093990817079261,1.0330323922446423,555
28000,-7622.6344635654095,3539.0207801125207,-4083.613683452889,292.2391786950075,12.092531769854016,1.03315703471606,555
30000,-7714.93468551719,3612.063348841856,-4102.871336675334,298.27076246393807,12.228902455910868,1.0216357772576203,555
32000,-7827.757280398146,3430.4492102707427,-4397.308070127403,283.27374210348233,12.043611182482696,1.0373536704442736,555
34000,-7628.562206821385,3483.271259601751,-4145.290947219634,287.6355905560902,12.335799369837822,1.0127827059266101,555
36000,-7819.30156213064,3487.9619925818956,-4331.339569548745,288.02293384644287,12.223395370112206,1.0220960614675296,555
38000,-7876.787018753996,3513.0632420218953,-4363.7237767321,290.0957017040904,12.089508568755301,1.0334153943892208,555
40000,-7989.343732531212,3502.6831075495948,-4486.660624981617,289.23854879050043,12.148402972855159,1.0284054861752632,555
42000,-7954.472304670169,3568.9345908871173,-4385.537713783052,294.70934997558646,12.225130768754411,1.0219509714761974,555
44000,-7974.468160995704,3640.280752974333,-4334.187408021371,300.60085079088987,12.313955673223711,1.0145792787543317,554
46000,-7895.152845900186,3490.3734664437197,-4404.779379456466,288.2220643926052,12.054556765769117,1.0364117493750922,554
48000,-7961.309995461968,3399.0427097365036,-4562.267285725465,280.68031005205523,12.080110593992632,1.0342193615152049,554
50000,-7937.620232841815,3430.1310255710387,-4507.489207270776,283.24746759392383,12.271516556517177,1.01808804217577,555
52000,-7730.693625422311,3436.559726054933,-4294.133899367378,283.7783257793425,12.292415976518056,1.0163571009489236,555
54000,-7869.695243819384,3507.306277616034,-4362.38896620335,289.62031298662384,12.14048566425659,1.0290761515690279,555
56000,-7965.070009089817,3422.895413145699,-4542.174595944118,282.6499776203076,11.967063831223415,1.0439891055778625,555
58000,-7912.1579894059105,3481.726094257341,-4430.431895148569,287.50799654654503,12.10436588951265,1.0321469443002058,555
60000,-8079.698438122767,3562.983514599092,-4516.714923523675,294.21793222055743,12.141416393749433,1.0289972652600845,555
62000,-7884.559950569455,3474.0622413319265,-4410.497709237528,286.8751440645397,12.205758337578482,1.0235729661374504,556
64000,-8035.27516279681,3505.112808744095,-4530.162354052714,289.43918448202993,12.123534656268495,1.0305149958137287,555
66000,-7913.943640155572,3527.519074367808,-4386.424565787764,291.2894105955053,12.217658949516494,1.0225759547860471,555
68000,-7803.046079643274,3418.025397319472,-4385.020682323802,282.247829819061,12.142511567110128,1.0289044565864494,555
70000,-7725.2800969106465,3511.708830684576,-4213.57126622607,289.98385945126785,12.009941778032587,1.0402618510943977,555
72000,-7730.545705110853,3552.1659372579416,-4178.379767852912,293.32465690117743,12.082472777206535,1.03401716651255,556
74000,-7971.202238781392,3500.426850738644,-4470.775388042748,289.0522354913352,12.430755973394827,1.0050462170033383,556
76000,-7670.219936187292,3547.6482715001716,-4122.571664687121,292.95160485862135,12.297651777055593,1.0159243806904588,556
78000,-7679.95038265617,3480.448385894107,-4199.501996762063,287.4024881401572,12.139599172390646,1.0291512996546317,556
80000,-7899.853276152979,3617.1190807634043,-4282.734195389574,298.68824600988336,12.174039559901646,1.0262398281259617,556
82000,-7774.055467748229,3414.216326024371,-4359.839141723858,281.93329087282865,12.13701940586171,1.02937004941413,556
