#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-6628.391144896857,3449.9386181727787,-3178.452526724079,284.8831049505583,15.176631887739964,0.8232053302712475,0
10000,-7195.285856085669,3440.221253714879,-3755.0646023707905,284.0806811207196,12.668619339372558,0.9861756779386261,568
15000,-7575.118961201864,3495.5298539062987,-4079.5891072955656,288.64785969891295,12.3730346307588,1.009734849888312,568
20000,-7646.50310745016,3497.050730916357,-4149.4523765338035,288.7734480681063,12.283756469576463,1.0170735879122237,568
25000,-7518.613711466765,3516.694345497999,-4001.919365968766,290.3955447294765,12.392686351094854,1.0081336613871748,568
30000,-7450.112950332958,3554.0010395424742,-3896.1119107904833,293.47619282531406,12.059942299185822,1.0359489254269125,567
35000,-7657.880393734653,3669.51433944182,-3988.366054292833,303.01485167711706,12.344622365350531,1.0120588460137447,567
40000,-7743.572276846258,3430.377475569229,-4313.19480127703,283.26781851852564,11.89723983903649,1.050116197923427,567
45000,-7730.52057736057,3562.5433113571553,-4167.977266003415,294.1815818734204,12.09825314363134,1.0326684453721187,567
50000,-7868.02042378817,3706.2024294885323,-4161.817994299638,306.0444177546575,12.167634765177247,1.0267800198365118,567
55000,-7932.593282926915,3477.667933881246,-4454.925349045669,287.17288875006443,12.220195470863812,1.0223637007558435,567
60000,-7888.497839206015,3533.861618021693,-4354.636221184322,291.8131542702145,12.078551356004665,1.0343528704161349,566
65000,-7760.917680791637,3779.9510903889104,-3980.966590402727,312.1343079899722,12.105856440675952,1.0320198597080443,566
70000,-8083.578994422045,3606.242115843739,-4477.336878578306,297.79006668505997,11.906887264754747,1.049265352711766,566
75000,-7954.168240148763,3525.741037964619,-4428.427202184144,291.14258695969113,11.989047189807142,1.0420748261107726,566
80000,-7992.899065940641,3485.264806557036,-4507.634259383605,287.800210252074,12.12197296045364,1.0306477589341678,566
85000,-7951.460217084881,3388.3291348633593,-4563.131082221522,279.79562286982406,11.93415176376518,1.0468682243077554,566
90000,-7731.048877423484,3458.833341464985,-4272.215535958499,285.617598131339,12.25955776914498,1.0190811529104167,566
95000,-7828.1005557410535,3430.9657007329197,-4397.134855008134,283.3163919656472,12.282819654423893,1.0171511604871895,566
100000,-7966.6166592928785,3329.5727856424764,-4637.043873650402,274.9437419947754,12.079598437948862,1.0342632107954028,566
